Istuntokauden uudelleenavaaminen	Resumption of the session
Arvoisa puhemies, minulla on vain kolme kommenttia, koska paljon on jo sanottu.	Mr President, just three points, because a great deal has already been said.
Ensiksi: haluaisin sanoa korkea edustaja Solanalle, että kun vuonna 1999 yhdessä muiden kollegojen kanssa yritimme saada selville, käytetäänkö Kosovossa köyhdytettyä uraania, asia salattiin tarkoituksellisesti, ja vastatessani erääseen kysymykseen, komission jäsen Wallström - minulla on tässä pöytäkirja - sanoin sanatarkasti, että vielä ei ole saatu varmuutta siihen, onko köyhdytettyä uraania käytetty.	First: I should like to say to Mr Solana that when, in 1999, we and some of our fellow members tried to find out if depleted uranium was being used in Kosovo, there was a cover-up and Mrs Wallström - I have the Minutes here - said in reply to a question that there was still no confirmation that depleted uranium was used in the conflict.
Tämä on parlamentin pöytäkirjassa.	That is what it says in the verbatim report.
Toiseksi: köyhdytetty uraani on vaarallinen ja haitallinen aine varsinkin silloin, kun sitä käytetään ammuksissa, koska iskeytyessään se höyrystyy, syntyy uraanioksidia ja se muuttuu pölyksi, joka voi joutua hengityselimiin. Uraanioksidit ovat liukenevia, ne voivat joutua veteen ja ravintoketjuun.	Secondly: depleted uranium is a dangerous and harmful substance, especially when used in shells because on impact it vaporises, produces uranium oxide and turns into a cloud which can be inhaled and the uranium oxide is readily soluble and can get into the water and food chain.
Tämän vuoksi - tiedätte varmasti, että kaikki haitalliset aineet ovat vahingollisia pieninäkin annoksina - on suoritettava huolellinen epidemiologinen tutkimus sekä Persianlahdella että Bosniassa sekä tietenkin myös Kosovossa, vaikka jos vaikutuksia ilmenee, ne ilmenevät siellä myöhemmin.	Consequently - and you must know that there is no harmful cause which does not actually cause harm, even in small doses - an ongoing epidemiological study is needed both in the Gulf and in Bosnia and, of course, in Kosovo, although any results there, if they do appear, will not do so until a later date.
Kolmanneksi: sikäli kun myönnämme, ja te, korkea edustaja Solana, myönnätte, että on syytä tehdä tämä tutkimus, jotta lopultakin saisimme tietää totuuden, eikö olisi ollut syytä noudattaa varovaisuusperiaatetta?	Thirdly: if we accept, and you Mr Solana accept, that this research is needed, in short, to uncover the truth, should the precautionary principle not apply?
Jos joku sanoo minulle tai kenelle tahansa, että talonne saattaa luhistua ja tarvitaan tarkastusta, jäänkö silloin kotiin tarkastuksen ajaksi, vai lähdenkö pois odottamaan tuloksia?	If someone says to me, or to anyone for that matter, look, we need to carry out a survey because your house may collapse, am I going to stay indoors while the survey is carried out or am I going to get out and wait for the results?
Tämä on yksinkertainen asia, enkä voi hyväksyä, että köyhdytetty uraani on ainoa ase, joka Natolla on käytössään, Naton arsenaaleissa on valtava joukko muita aseita, joita voidaan käyttää menestyksellisesti.	It stands to reason and I do not accept that depleted uranium is the only weapon at NATO's disposal; it has a host of other efficient weapons in its arsenal.
Arvoisa puhemies, meille on täällä nyt vakuutettu eri tahoilta, että tietoja tullaan antamaan ja asioita käsittelemään avoimesti.	Mr President, we here have now been assured from various quarters that information will be given and matters discussed openly.
Tähän saakka tuota avoimuutta on puuttunut.	Until now that openness has been missing.
On luonnollista, että meillä täytyy olla tietoa toimiemme pohjaksi, mutta yhdyn niihin käsityksiin, joita täällä on esitetty varovaisuusperiaatteen toteuttamisesta.	Naturally we must have the right information to support our action, but I have the same opinions as have been expressed here with regard to putting the precautionary principle into practice.
Meillä on seuraavana asiakohtana nopean toiminnan joukoista puhuminen.	We have as our next point for discussion the issue of a rapid reaction force.
Tässä yhteydessä on selkeästi otettava kantaa siihen, miten ihmisten terveyteen suhtaudutaan, vaikka emme näkisikään suoraa yhteyttä esimerkiksi leukemiaan.	In this connection we clearly have to adopt a position on our approach to the matter of people' s health, although we might not see a direct connection, for instance, with leukaemia.
On hyvin mahdollista, että muita haitallisia vaikutuksia, esimerkiksi juomaveden suhteen, tulee olemaan pitkällä aikatähtäimellä.	It is very possible that other harmful effects, for example in connection with drinking water, will be evident in the long term.
Voimmeko lähteä siitä, että kun teemme hyvää ratkaisemalla konflikteja, samalla aiheutamme paljon huolta ja turvattomuutta tulevaisuudessa siviiliväestölle?	Can we really work on the basis that when we do good and solve conflicts, at the same time we will be causing the civilian population so much anxiety and insecurity in the future?
Arvoisa puhemies, minusta on hieman omituista puhua ennalta varautumisen periaatteesta, kun tarkoitetaan aseita, jotka on kuitenkin suunniteltu terveydelle haitallisiksi.	Mr President, I find it slightly bizarre to talk about the precautionary principle in relation to weapons, which are after all designed to be bad for your health.
Ongelma on tietenkin se, että sanan "uraani" mainitsemista seuraa reaktio, joka on lähinnä joukkohysteriaa.	The problem, of course, is that you only have to mention the word "uranium" and there is an outbreak of what can only be described as mass hysteria.
Tietenkin sairauksia ja kuolemantapauksia on tutkittava, ja pidän myönteisenä Naton jäsenvaltioiden tähän tähtääviä toimia, mutta meidän on perustettava arviomme tosiseikkoihin, ja tosiseikat ovat tällä hetkellä erittäin selkeitä.	Of course, the illnesses and deaths must be investigated and I welcome the action taken by NATO member states to that end, but we have to make a judgment on the facts and the facts are very clear at the moment.
Köyhdytetyn uraanin ja sairauksien välillä ei ole yhteyttä.	There is no link between depleted uranium and the illnesses.
Jos katsomme Yhdysvalloissa tehtyä Persianlahden sodan veteraaneja koskevaa tutkimusta ja vertaamme sitä kontrolliryhmää koskevaan tutkimukseen, ei kuolemantapausten tai sairaustapausten tai syöpätapausten määrässä ole mitään eroa näiden kahden ryhmän välillä.	If we look at the study of Gulf War veterans that was done in the United States and compare that with the study of the control group, there is no difference in the death rates, or illness rates, or the rates of cancer between the two groups.
Meidän on varmistettava, että työskentelemme tieteellisten tosiseikkojen perusteella, eikä siksi ole asianmukaista vaatia käytön keskeyttämistä tällä hetkellä, kun näiden kahden asian välillä ei ole olemassa tieteellistä yhteyttä.	We must ensure that we are working on the basis of scientific fact and that is why it is not appropriate to call for a moratorium at the moment, when there is no scientific link between the two.
Balkanin sotaan liittyy paljon muita asioita, joita meidän pitäisi tutkia, kuten räjähtämättömät rypälepommit ja ne ympäristövahingot, joista komission jäsen puhui, mutta pysykäämme tosiasioissa.	There are a lot of other issues to do with the Balkan War which we should be investigating, like unexploded cluster bombs and the environmental damage which the Commission has outlined, but let us stick to the facts.
Arvoisa puhemies, ensiksi haluaisin kiittää kaikkia puheenvuoron pitäneitä jäseniä siitä, kuinka he asiansa esittivät sekä heidän puheidensa suoruudesta, mikä on selvä osoitus siitä, että me kaikki toivomme kovasti, että tämä tilanne selkiytyy, sillä ei ole epäilystäkään, etteikö huolestumisemme olisi kohdistuttava juuri niihin ihmisiin, jotka ovat tällä hetkellä sairaita tai saattavat sairastua ja joutua kärsimään tulevaisuudessa.	Mr President, I would firstly like to thank all the Members who have spoken, since the way they have spoken and their frankness clearly demonstrate that we all share the same wish for clarification on this situation. The chief concern we all must have is undoubtedly for the people who are currently ill and those who may become ill and suffer in the future.
Siksi annan jälleen kerran lupaukseni, että kerron kaiken sen, mitä minulla on kerrottavana, mutta parlamentin jäsenet eivät voi pyytää minua kertomaan sellaista, mihin minulla ei ole valtuuksia tai sellaista, josta en tiedä.	I therefore once again promise to provide all the information I can. What you cannot ask me to do is to provide information when I am unable to do so or when I have no information.
Puhumme aiheesta, joka sävynsä puolesta kuuluu hallituksille, ja siksi meidän on tukeuduttava siihen, millaista tietoa jokainen hallitus meille toimittaa.	This is an issue which by its very nature lies within the remit of national governments and we are necessarily therefore dependent on the information provided by the individual governments.
Kuten sanoin ensimmäisessä puheenvuorossani, olen yhteydessä hallituksiin ja tämän asian parissa työskenteleviin järjestöihin ja voin jälleen kerran taata teille, että meidän puolestamme, neuvoston puolesta ja omasta puolestani, kaikki hallussamme oleva tieto kerrotaan täysin avoimesti.	As I said in my opening speech, I am in contact with the governments and organisations working on this issue and once again I can assure you that the Council and I personally will make available all the information we have with the maximum of transparency.
Sellaisia tietoja, jotka eivät ole muodollisesti käytössämme, on vaikea kertoa jäsenille.	It would be rather difficult to provide you with information we do not have.
Toiseksi toteaisin kernaasti asiasta, johon jotkut teistä viittasivat, että tieteellisissä analyyseissa meidän on pidettävä kaikki muuttujat mukana, emmekä saa keskittyä joihinkin tiettyihin parametreihin ja unohtaa sellaisia, joilla saattaa olla myös vahingollisia vaikutuksia terveyteen.	Secondly, I would like to say that, as some of you have pointed out, we must keep all the variables open in the scientific analyses. We must not focus on certain parameters and forget others which may have effects which are equally damaging to health.
Tästä syystä olen iloinen, että sekä komission että joidenkuiden puheenvuoronsa pitäneiden jäsenten puheista oli kuultavissa avoimuus analysoida kaikkea sellaista, jolla voi olla ympäristövaikutuksia.	I am therefore delighted to have heard both the Commission and some of the Members who have spoken express a willingness to analyse all the aspects which may have an environmental impact.
Voin kertoa teille, että minäkin olen koulutukseltani luonnontieteilijä ja kaiken lisäksi fyysikko.	I can tell you that I, too, am a scientist, a physicist, by training.
En aio tuoda julki niitä nykyään vähäisiä tietojani, joita minulla joskus oli. Kuitenkin minusta olisi tärkeää, että suhtautuisimme tähän ongelmaan järkiperäisesti ja että toivomme saavamme käsiimme kaiken mahdollisen tiedon kaikkien seuraussuhteiden selvittämiseksi.	I am not going to regale you with all I learnt at the time, even if I could remember much of it, but I do think it important for us to adopt a rational attitude to this problem and to wait to collate all the available information before assessing the full implications.
Tällä hetkellä kenenkään ei pidä epäillä, etteivätkö kaikki maat ja kaikki kansainväliset järjestöt olisi tekemässä kaikkensa tämän ongelman ratkaisemiseksi ja keräämässä asianmukaisinta tietoa mahdollisimman nopeasti.	Right now, nobody should have any doubt but that all the countries and all the international organisations are doing their utmost to find a solution to this problem, bringing together the most relevant information as quickly as possible.
Täällä on puhuttu monista asioista, jotka ovat kaikki kiinnostavia.	A great many things have been said, all very interesting.
Olen pannut ne kaikki merkille, mutta en aio vastata niihin yksitellen, koska varsinaisia kysymyksiä esitettiin vähän.	I have taken note of everything, but I do not want to go through each point individually since not many actual questions have been asked.
Kuitenkin haluaisin vastata joihinkin esiin otettuihin seikkoihin väärinkäsitysten välttämiseksi.	I would, however, like to respond to some of the statements that have been made in order to prevent any misunderstandings.
Verts/ALE-ryhmän jäsenille haluaisin sanoa aivan suoraan ja ystävällisesti, että he lähettivät minulle kirjeen, jonka sain ja josta tiedotin kaikille hallitusten päämiehille - kuten jäsenet itse tietävät, sillä puhuin heidän kanssaan - ja unionin ministereille ja jonka myös toimitin jälkimmäisille.	Let me, in all frankness and affection, confirm that I received the letter from the representatives of the Group of the Greens/European Free Alliance and - as they themselves know, because I spoke to them - I conveyed the message and made the letter available to the Heads of Government and Ministers of the Union.
Kirjeeseen vastattiin suullisesti, ei kirjallisesti, mutta tietänette, että hallitukset päättivät jatkaa aloittamallaan linjalla jo toukokuussa, jolloin sain tämän kirjeen.	The letter was answered verbally and not in writing, but you are aware that the decision which the governments took was to continue along the route they had already undertaken in May, which was the time I actually received the letter.
Siksi älkäätte luulko, ettei saamaani kirjettä pidetty arvossa.	So, please do not think that no one paid any attention to the letter I received.
Kirjettä pidettiin arvossa, mutta hallitukset päättivät toimia toisin kuin kirjeessä ehdotettiin.	The message was taken into consideration, but the governments still decided upon a course other than that proposed in the letter.
Kuitenkin toivoisin, että ymmärtäisitte, että parlamentin poliittisten ryhmien kaikkien jäsenten kirjeitä on aina kunnioitettu.	Letters from any of the members of political groups in this Parliament are always taken into consideration, and I would like you to be assured of that.
Haluaisin pohtia paria lähes henkilökohtaista seikkaa.	I have two observations which are almost personal observations.
Ensinnäkin teen selvän eron tarkoitusten ja keinojen välille.	Firstly, I make a very clear distinction between ends and means.
En haluaisi, että minua moititaan siitä, että sotken tarkoituksen ja keinot keskenään.	I would not like to be accused of confusing the ends with the means.
Erotan erinomaisesti tarkoitukset keinoista, ja tiedän varsin hyvin, että tärkeintä ovat tarkoitukset ja että tarkoitusten saavuttaminen riippuu paljon käytetyistä keinoista.	I am perfectly capable of distinguishing between ends and means and I know very well that ends are the important thing and that achieving the ends depends very much on the means employed.
Keinot ja niiden tuntemus muuttuvat ajan myötä.	Different means, and our assessment of them, change over time.
Toisinaan hallussa on tietoja, joista seuraa, että jokin keino voi olla hyödyllinen tai lakata olemasta hyödyllinen, ja meidän on otettava huomioon näitä pohtiessamme se tieto, joka on käytettävissä juuri päätöksiä tehtäessä.	There are occasions when the information available suggests that particular means may be useful or may have ceased to be useful, and in considering these cases we have to take account of the information available at the precise time when decisions are taken.
Siksi käyköön selväksi, etten sekoita tarkoituksia ja keinoja keskenään.	I would therefore like to make it clear that that I am not confusing ends with means.
En ole tehnyt niin koskaan ja olisin mieluummin tekemättä niin.	I have never done so and I would hope never to do so.
Haluaisin vastata niille, jotka syyttävät minua siitä, että pyydän parlamenttia "rikostoveriksi", etten pyydä parlamentilta missään tapauksessa tällaista, en nyt enkä koskaan.	I would like to say something to those who accuse me of having asked this Parliament for its complicity. In no way am I asking Parliament for its complicity, not now, not ever.
Te edustatte Euroopan unionin kansan tahtoa ja olette vastuussa teoistanne.	You represent the will of the people of the European Union and you are responsible for your own actions.
Mielestäni minun täytyy ja kuuluu jakaa jäsenten kanssa nimenomaan ne hetket, jolloin olimme samoilla linjoilla vuosia tai kuukausia sitten.	What I have, and what I believe I must share with you, are the moments when we have agreed years or months ago.
Tämä ei tarkoita parlamentin hyväksikäyttöä tai sen tekemistä rikostoveriksi.	That does not mean I am using Parliament or making it complicit.
Toistan sadannen kerran, että kannan kaiken vastuuni, olen koko ikäni tehnyt niin ja aion tehdä niin jatkossakin enkä tarvitse kenenkään rikostoveruutta.	If I say it once or if I say it a thousand times, I fully accept my responsibilities, I always have and I always will, that is my intention, without the need to make anybody complicit.
Minun täytyy sitä vastoin pyytää teitä kantamaan oma vastuunne.	What I need to do is to ask you to accept your own responsibility.
Minä kannan oman vastuuni ja te kannatte omanne.	I am accepting mine and you must accept yours.
Emmekä voi kieltää, etteivätkö tässä parlamentissa hyväksytyt päätöslauselmat olisi panneet minua ajattelemaan.	And we cannot deny that the resolutions adopted by this Parliament gave me food for thought.
Ollessani Euroopan unionin ministerineuvoston puheenjohtajana parlamentin päätöslauselmat olivat minulle tärkeitä ja tärkeitä ne olivat myös Euroopan unionin valtioiden ja hallitusten päämiehille.	Your resolutions were important to me when I chaired the Council of Ministers of the European Union and also to the Heads of State and Government of the European Union.
Tämä ei tarkoita kenenkään tekemistä rikostoveriksi.	That is not making anybody complicit.
Kyse on vastuun jakamisesta vastuullisina eurooppalaisina, joita me kaikki täällä läsnä olevat olemme.	That is sharing responsibility like the responsible Europeans all of us are here.
Meidän on pystyttävä jakamaan ja olemaan yhdessä vastuussa.	We must be able to share and to accept our collective responsibility.
Tässä kaikki.	I have nothing else to say.
Haluaisin kiittää teitä ja kertoa teille, että tulen takaisin 31. päivänä keskustelemaan Lähi-idästä, mutta olen käytettävissänne myös täysistunnon ajan, jotta voimme edelleen käsitellä tätä varsin mielenkiintoista aihetta, koska meillä on siinä paljon menetettävää. Uskottavuutemme on pelissä, ja panemme itsemme peliin myös jatkaessamme Euroopan unionin kriisinhallintaa.	I would like to thank you and also to inform you that I shall be coming back here on 31 January for a debate on the Middle East, but I shall remain at your disposal during the plenary session to continue discussing this very important issue since it is one in which we have a lot at stake, namely our credibility and also our ability to continue to make progress in the area of European Union crisis management.
Hyvät jäsenet, tässä mielessä voitte aina huoleti luottaa minuun, ainakin hyvään tahtooni, koska osaamiseni on jo epävarmempaa.	In this respect, ladies and gentlemen, please be assured that you can count on me, at least on my good will. That you can count on my knowledge is not so certain.
. (EN) Arvoisa puhemies, haluan myös aloittaa kiittämällä kaikkia Euroopan parlamentin jäseniä heidän lausunnoistaan, koska he ovat korostaneet, kuinka tärkeää on ottaa vakavasti niiden henkilöiden pelot ja huolet, jotka kärsivät oireista ja sairauksista, sekä kuinka tärkeää on kerätä kaikki saatavilla oleva tieto ja tutkia myös pitkän aikavälin terveysvaikutukset.	Mr President, I also want to start by saying thank you to all the Members of the European Parliament for their statements, because they have underlined the need to take seriously the fears and anxieties in respect of all those who suffer from symptoms and illnesses as well as the need to gather all available information and to examine also the long-term health effects.
Vakuutan teille, että komissio tekee kaiken voitavansa toimivaltansa puitteissa saadakseen aikaan kunnollisen tieteellisen perustan tälle asialle. Teemme myös tiiviisti yhteistyötä muiden kansallisten ja kansainvälisten tällä alueella työskentelevien elinten kanssa: Naton, YK:n ympäristöohjelman, IAEA:n ja Maailman terveysjärjestön.	The Commission, I assure you, will do all in its power and competence to establish a sound scientific basis in relation to this issue and we will also, of course, cooperate fully with other national and international bodies working in this field: NATO, UNEP, IAEA and the World Health Organisation.
Komission pyrkimykset integroidaan tätä laajempaan terveyden ja ympäristön tukiohjelmaamme Balkanilla, koska meidän on tarkasteltava kerääntyneitä vaikutuksia.	The Commission's efforts will be integrated into our wider programme of support in the Balkans with respect to health and the environment, because we must look at the accumulated effects.
Pidämme myös myönteisenä tilaisuutta esittää parlamentille selvitys siitä, kuinka olemme edistyneet ponnistuksissamme, jotka tähtäävät näiden köyhdytetyn uraanin vaikutuksia käsittelevän asianmukaisen tieteellisen pohjan aikaansaamiseen.	We also welcome the opportunity to report back to the European Parliament on the progress of our efforts to establish a solid scientific basis on the effects of depleted uranium.
Haluaisimme tulla parlamenttiin antamaan teille selvityksen, ja tietenkin haluamme aina vastata kaikkiin teidän kysymyksiinne.	We would like to come back to report to you and of course we are always willing to answer any questions that you might have.
Arvoisa puhemies, haluan vain käyttää tilaisuutta hyväkseni ja pyytää komission jäsen Wallströmiä ja muita puhumaan parlamentissa omalla äidinkielellään, komission jäsen Wallströmin tapauksessa ruotsin kielellä.	Mr President, I just want to take the opportunity of asking Commissioner Wallström and others to speak in their respective native languages here in the Chamber - in Mrs Wallström' s case, Swedish.
Paljon kiitoksia, hyvä kollega!	Thank you very much, Mrs Eriksson.
Perusoikeuskirjan ansiosta Euroopan unioni on vapaa alue, ja jokainen voi päättää itse, millä kielellä puhuu.	The Charter of Fundamental Rights says that the European Union is a union of free countries, and everyone is free to speak in whatever language he or she chooses.
Arvoisa puhemies, työjärjestyspuheenvuoro.	Mr President, on a point of order.
Katsoin juuri yhteisen päätöslauselmaehdotuksen tekstiä.	I have just been looking at the text of the joint motion for a resolution.
Haluaisin huomauttaa, että sen ELDR-ryhmän puolesta allekirjoittaneeksi merkitty lordi Bethell on erittäin tervetullut ryhmäämme.	I should like to point out that the name indicated as signing for the Liberal Group, the Lord Bethell, is most welcome to join our Group.
Haluaisin kirjata muistiin, kuinka tyytyväisiä olemme saadessamme tänään ryhmäämme uuden jäsenen, joka allekirjoittaa puolestamme.	I should like to place on the record how pleased we are to have a new member today who signs on our behalf.
Selvä, jäsen Cox, me selvitämme äänestykseen mennessä, mihin ryhmään lordi Bethell nyt kuuluu ja mihin ei.	Well, by the time of the vote we shall have established which groups Lord Bethell does and does not belong to.
Ilmoitan vastaanottaneeni seitsemän työjärjestyksen 37 artiklan 2 kohdan mukaisesti käsiteltäväksi jätettyä päätöslauselmaesitystä sekä yhden yhteisen, kuuden ryhmän kannattaman päätöslauselmaesityksen.	I should like to inform the House that I have received seven motions for resolutions under Rule 37(2) of the Rules of Procedure as well as one joint motion for a resolution sponsored by six groups.
Keskustelu on päättynyt.	The debate is closed.
Äänestys toimitetaan tänään klo 12.00.	The vote will take place at 12 noon tomorrow.
Arvoisa puhemies, työjärjestyspuheenvuoro.	Mr President, on a point of order.
Ehkä voimme selvittää tuon asian nyt.	Perhaps we could just settle that point of order now.
Lordi Bethell on ja pysyy brittikonservatiiviryhmän jäsenenä.	Lord Bethell is, and remains, firmly a member of the British Conservative Group.
Jäsen Van Orden, voin hyväksyä sen vain, jos teillä on lordi Bethellin laatima valtakirja, joka oikeuttaa teidät antamaan lausuntoja hänen puolestaan.	Mr Van Orden, I cannot allow you to make statements on behalf of Lord Bethell unless you have written authorisation from him.
Arvoisa puhemies, koska puhe on Balkanin oireyhtymää koskevasta yhteisestä päätöslauselmasta, haluaisin vain ilmoittaa, että oma nimeni sekä ryhmäni nimi esiintyy yhteisessä päätöslauselmassa virheellisesti.	Mr President, since we are discussing the joint resolution on the Balkan syndrome, I would just like to point out that my own name and that of my group have been included erroneously on this joint resolution.
Kollega Wurtz, sanoin nimenomaan, että yhteistä päätöslauselmaesitystä kannattaa kuusi, ei seitsemän ryhmää.	Mr Wurtz, I explicitly said a joint motion for a resolution sponsored by six groups, not seven.
Tiedän ryhmänne herkkätunteisuuden tässä asiassa, ja juuri siksi määrittelin kannatuksen tarkasti!	I am thoroughly familiar with the sensitivities of your group on this point, which is why I specified it quite explicitly.
Nopean toiminnan väline	Rapid reaction facility
Esityslistalla on seuraavana Dunnin laatima ulkoasioiden, ihmisoikeuksien sekä yhteisen turvallisuuden ja puolustuspolitiikan valiokunnan mietintö (A5-0392/2000) ehdotuksesta neuvoston asetukseksi nopean toiminnan välineen perustamisesta (KOM(2000) 119 - C5-0272/2000 - 2000/0081(CNS)).	The next item is the report (A5-0392/2000) by Mr Newton Dunn, on behalf of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, on the proposal for a Council Regulation [COM(2000) 119 - C5-0272/2000 - 2000/0081(CNS)] on the creation of a Rapid Reaction Facility.
. (EN) Arvoisa puhemies, tämä ehdotus koskee rahoitusta unionin välittömään, ei-sotilaalliseen reaktioon kriisitilanteissa.	Mr President, this proposal is about money for an instant, non-military response by the Union to crises.
Se kuuluu ensimmäiseen pilariin - tämä niille, jotka ymmärtävät unionin ammattikieltä - ja komissio johtaa sitä.	It is first pillar - for those who understand Union jargon - and is driven by the Commission.
Se ei koske sotilaallisia nopean toiminnan joukkoja, jotka kuuluvat tietenkin toiseen pilariin ja joita johtaa ministerineuvosto.	It is not a military, rapid reaction force, which is, of course, second pillar, and driven by the Council of Ministers.
Minua on kuitenkin pyydetty, minua on lobattu ja minulta on kysytty, kuinka aion käyttää ulkoasioiden, ihmisoikeuksien sekä yhteisen turvallisuuden ja puolustuspolitiikan valiokunnan sotilaita, tankkeja ja lentokoneita.	However, I have been invited, lobbied and asked how I am going to deploy the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy's soldiers, tanks and planes.
Minulta on kysytty, aiommeko käyttää Kyproksen meritukikohtia ja puhua kanadalaisten sotilaiden kokouksessa.	I have been asked whether we are going to use naval bases in Cyprus and to address a conference of Canadian soldiers.
Haluan tehdä täysin selväksi sen, että tällä ei ole mitään tekemistä sotilaallisten nopean toiminnan joukkojen kanssa: tämä on komission rahataloudellinen väline, jonka avulla se voi reagoida kriiseihin erittäin nopeasti.	I want to make it absolutely clear that this is nothing to do with the military rapid reaction force: this is a financial facility for the Commission to respond to crises very rapidly.
Vaikka komissio käyttää rahat niin nopeasti kuin tarvitaan, parlamentilla on edelleen valvontaoikeus toisena budjettivallan käyttäjänä.	Although the Commission will deploy the money as fast as is necessary, Parliament retains control as one half of the budgetary authority.
Me äänestämme rahoista ja odotamme komission selvityksiä siitä, kuinka se on käyttänyt rahat.	We shall vote the money and we shall look forward to the reports from the Commission on how it has spent the money.
Odotamme komission käyttävän rahat siihen, että se reagoi kriiseihin ostamalla lääkkeitä, palkkaamalla lääkäreitä ja sairaanhoitajia tai poliiseja - mitä kulloinkin tarvitaan - kriisiä varten, olipa se sitten missä tahansa - ei välttämättä Euroopan alueella.	We expect the Commission to spend the money on responding to crises by buying medicines, hiring doctors or nurses, chartering aircraft to carry the medicines, nurses or policemen - whatever is required - to the crisis, wherever it is - not necessarily within Europe.
Aiemmin unionia on oikeutetusti kritisoitu hitaasta reagoimisesta kriiseihin.	In the past the Union has been rightly criticised for being slow in responding to crises.
Emme ole onnistuneet reagoimaan välittömästi kriiseihin, silloin kun niin olisi selvästi pitänyt tehdä, ja tämä ehdotus on osa komission jäsen Pattenin kunnioitettavia pyrkimyksiä parantaa unionin apuohjelmaa, joka on vähintäänkin hiukan sekava.	We have failed to send an immediate response when it was most obviously required, and this proposal is part of Commissioner Patten's praiseworthy efforts to improve the Union's aid programme, which is in a bit of a mess, to say the least.
Toivon todellakin, että parlamentti tukee ehdotusta. Tähän palaan vielä.	I hope very much that Parliament will support it, and I will come back to that.
Kun komission jäsen vastaa tähän keskusteluun, olisimme erittäin kiinnostuneita kuulemaan, voiko hän kuvailla niitä tilanteita, joissa hänen arvionsa mukaan tätä välinettä voitaisiin käyttää - vaikkakin meillä on joitakin ideoita itsellämmekin.	We would be very interested to know whether, when the Commissioner responds to this debate, he would be able to outline the types of situations that he envisages this may be used for - although, of course, we have some ideas ourselves.
Lukuisat tämän mietinnön lukeneet kollegat ovat kysyneet minulta, miksi siinä on niin paljon tarkistuksia, jos se kerran on niin hyvä idea.	I have been asked by a number of colleagues who have read the report why, if it is such a good idea, there are so many amendments in it.
Komission alkuperäisen ehdotus oli päivätty viime vuoden huhtikuussa, mutta sen jälkeen ei tapahtunut mitään.	The original Commission proposal was dated April last year, but after that nothing happened.
Näyttää siltä, että puheenjohtajavaltio Ranska jäädytti sen antamatta mitään selitystä siitä, mitä on tapahtumassa.	It was blocked, it appears, by the French Presidency, with no explanation of what was happening.
Esitin siis kyselytunnilla kysymyksen, jossa pyydettiin selitystä, ja kuin ihmeen kaupalla - tai ehkä asioilla ei ole mitään yhteyttä - puheenjohtajavaltio Ranskan ja komission edustajat tapasivat ja keskustelivat jäädyttämisen lopettamisesta.	So I tabled a question at Question Time asking for an explanation and miraculously - but maybe there was no connection - the French Presidency and the Commission got together to negotiate to remove the blockage.
He esittivät vaihtoehtoista tekstiä, mutta valitettavasti neuvosto ei ole suvainnut kertoa parlamentille tekstin uudesta versiosta.	They came up with an alternative text but, I am sorry to say, the Council has never had the courtesy to inform Parliament of the new version of the text.
Mietintöni lukuisat tarkistukset ovat siis yritys tarkistaa alkuperäistä ehdotusta ja meidän tilaisuutemme kommentoida uutta kompromissitekstiä, jonka onnistuimme saamaan käsiimme, vaikka sitä ei koskaan virallisesti annettukaan meille.	So the many amendments in my report are an attempt to amend the original proposal and for us to comment on the new compromise text which we happened to obtain, even though it was never given to us officially.
Parlamentti käsittelee tätä asiaa vain yhden kerran, mikä on toinen seikka, jota ei korjattu Nizzan huippukokouksessa.	Parliament has only one reading on this, which is another reflection which was not corrected at the Nice Summit of the democratic deficit.
Tässä pitäisi tietenkin olla yhteispäätösmenettely, mutta siinä ei ole.	It should, of course, be codecision, but it is not.
Me voimme kuitenkin uhata käyttävämme tätä ainoaa käsittelyä asian epäämiseen - kuten kuuluisassa isoglukoositapauksessa muutama vuosi sitten - ja jos epäämme lausuntomme, asia ei etene.	However, we were able to threaten to use our single reading to withhold it - like the famous isoglucose case some years ago - and if we withhold an opinion, nothing further can happen.
Meillä on siis tehokas veto-oikeus.	So we have an effective veto.
Onneksi kuitenkin parlamentin valiokunnassa tätä ehdotusta on tarkasteltu erittäin tarkasti ja siellä puolletaan tätä.	But, happily, the committee in Parliament has looked at this proposal in great detail and is in favour of it.
Tästä johtuvat monet valiokunnan jättämät tarkistukset.	Hence the many amendments proposed by the committee.
En aio käsitellä tarkistusten yksityiskohtia, vaan olen iloinen voidessani sanoa lopuksi, että tarkistukset on hyväksytty valiokunnassa lähes yksimielisesti poikkeuksena ainoastaan brittikonservatiivit.	Finally - I am not going to go into the details of the amendments - I am happy to say that the committee adopted the amendments almost unanimously, with the single exception of the British Conservatives.
He varmasti selittävät itse, miksi menettelivät näin.	They will no doubt explain why that was so.
Minun oli pakko jättää tämä puolue huomiotta, koska se on alkanut suhtautua Eurooppaan täysin kielteisesti.	That was the party which I felt obliged to abandon because it had become totally negative about Europe.
Toivon todellakin, että kun ehdotuksesta äänestetään, he suhtautuvat siihen viimeinkin myönteisesti ja antavat sille täyden tukensa.	I very much hope that when we vote on this proposal they will at last feel positive and give it their wholehearted support.
